"County","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22"
"Lehigh","5792","5883","6043","6205","6344","6536","6694","6805","6883","6973","7138","7305","7508","7626","7726","7828","8013","8257","8459","8682","8950","8950","9255","9537","9537","9903","10466","10630","10865","11215","11521","11888","12182"
"Luzerne","3399","3449","3569","3733","3910","4079","4238","4362","4508","4635","4849","5009","5229","5381","5528","5684","5828","5981","6133","6305","6444","6444","7024","7157","7157","7383","7791","7900","8005","8400","8630","8913","9271"
"Lycoming","775","796","853","876","919","950","980","1010","1034","1061","1098","1119","1173","1215","1233","1253","1274","1299","1337","1383","1411","1411","1442","1522","1522","1565","1651","1714","1732","1745","1842","1882","1915"
"Mckean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKean","123","132","138","141","144","149","150","155","158","162","162","167","175","183","187","194","199","204","226","229","233","233","250","282","282","307","344","353","372","389","414","447","474"
"Mercer","500","519","538","560","613","621","637","664","673","707","715","744","772","785","801","817","845","857","900","918","937","937","957","975","975","1009","1068","1092","1156","1187","1223","1257","1303"
"Mifflin","523","527","540","573","588","595","609","622","640","647","665","685","700","734","740","757","770","784","807","832","846","846","870","892","892","919","964","986","997","1013","1037","1059","1076"
"Monroe","2061","2088","2131","2167","2230","2290","2376","2441","2482","2583","2652","2735","2825","2880","2940","2978","3041","3131","3249","3330","3429","3429","3558","3653","3653","3798","4069","4120","4203","4363","4475","4688","4885"
"Montgomery","12304","12482","12961","13442","13823","14,240","14668","15022","16236","16694","17072","17509","17930","18185","18464","18738","19079","19589","20110","20557","21168","21168","21911","22369","22369","23000","24381","24807","25655","26151","26817","27941","28819"
"Montour","2931","2933","2938","2941","2937","2,939","2940","2942","2948","2955","2957","2958","2966","2966","2967","2970","2973","2971","2983","2991","2991","2991","2986","2985","2985","2984","2990","3010","3015","3076","3080","3089","3105"
